N_imp,P_imp,K_imp,Ca_imp,Mg_imp
6.188,0.3,4.98,0.9899999999999999,0.45
4.211,0.19000000000000003,5.25,0.82,0.38000000000000006
4.871,0.28,5.72,0.87,0.36000000000000004
5.803,0.33,5.43,0.93,0.19000000000000003
5.936,0.29,5.62,0.75,0.32
6.333000000000001,0.27,5.09,0.7600000000000001,0.18000000000000002
6.352999999999999,0.36999999999999994,6.349999999999999,1.02,0.29
4.592,0.19000000000000003,4.93,1,0.49
4.634,0.26,4.95,0.91,0.4000000000000001
5.201,0.20000000000000004,5.13,0.81,0.42
5.905,0.28,5.09,1.09,0.49
6.169999999999999,0.29,4.19,0.77,0.38999999999999996
6.328,0.27,4.73,0.91,0.54
3.041,0.24,4.45,0.82,0.27
3.516,0.26,4.5,0.64,0.3499999999999999
4.505,0.28,4.66,0.71,0.23
5.762,0.28,5.19,0.81,0.28
5.903,0.32,5.19,0.7399999999999999,0.36000000000000004
5.84,0.27,5.01,0.88,0.64
3.57,0.25,4.04,0.66,0.20000000000000004
3.9090000000000003,0.25,4.15,0.66,0.20000000000000004
5.01,0.26,4.27,0.75,0.32
5.553,0.26,4.9,0.7399999999999999,0.25
6.13,0.27,5.5,1.05,0.26
5.435,0.21,4.61,0.77,0.22
4.256,0.17,4.89,0.83,0.26
4.263,0.22,5.15,0.7399999999999999,0.3499999999999999
4.722,0.24,4.46,0.7200000000000001,0.28
5.762,0.25,3.98,0.7399999999999999,0.21
5.385000000000001,0.22,4.68,0.67,0.27
6.047,0.26,5.07,0.7200000000000001,0.24
3.938,0.24,5.52,0.9,0.4000000000000001
3.908,0.24,4.87,0.9899999999999999,0.43
4.657,0.28,4.93,1.14,0.53
5.406,0.28,5.33,1.02,0.59
5.416999999999999,0.29,5.24,1.07,0.52
5.936,0.31,4.72,0.9700000000000001,0.59
4.037,0.24,5.48,0.98,0.42
4.262,0.28,5.16,1.31,0.36000000000000004
4.858,0.3,5.87,0.88,0.5
5.514,0.31,4.46,1.3500000000000003,0.55
5.534,0.33,4.67,1.37,0.58
5.617999999999999,0.29,4.66,1.45,0.65
3.548,0.25,4.92,1.03,0.43
4.172,0.29,5.11,1.26,0.51
4.907,0.3499999999999999,5.04,1.18,0.6
4.997,0.34,4.8,1.13,0.64
5.448,0.28,3.47,1.04,0.31
5.7540000000000004,0.36000000000000004,4.91,1.19,0.68
4.683,0.27,4.62,0.81,0.4000000000000001
5.229,0.28,4.81,0.9,0.36000000000000004
6.037,0.31,5.59,0.94,0.38000000000000006
6.486999999999999,0.31,4.91,1,0.3499999999999999
5.891000000000001,0.3,5.26,1.01,0.3
6.455000000000001,0.32,5.19,1.2,0.29
4.611,0.27,4.53,0.9700000000000001,0.21
5.144,0.34,5.419999999999999,1.2,0.25
5.471,0.34,5.43,1.03,0.32
6.3790000000000004,0.38000000000000006,5.12,0.91,0.22
6.422999999999999,0.42,5.37,1.12,0.25
6.582,0.3499999999999999,5.56,1.32,0.26
4.474,0.26,4.71,0.87,0.20000000000000004
5.099,0.29,5.25,0.88,0.23
5.964000000000001,0.32,5.3,0.84,0.20000000000000004
6.47,0.36000000000000004,5.669999999999999,0.94,0.24
6.724,0.34,5.580000000000001,0.9,0.25
6.091,0.28,4.96,0.89,0.26
4.52,0.24,5.21,1.18,0.16
4.327,0.25,5.23,1.11,0.09000000000000001
5.928,0.28,4.93,0.92,0.14
6.009,0.25,5.13,1.05,0.17
5.986,0.18000000000000002,4.73,0.84,0.19000000000000003
6.409,0.29,4.98,1,0.21
