NoEssai,NoBloc,NoTraitement,clr_N,clr_P,clr_K,clr_Mg,clr_Ca,clr_Fv,Cultivar,Maturity5,RendVendable,yieldCutoff,yieldClass,ionomicGroup
1,1,1,0.33211862197412234,-2.5183251019693023,0.8379383072135949,-1.6390756417754968,-0.47946884040454485,3.4668126549616276,Goldrush,mid-season,18.9442,41.330528837,LY,2
1,1,2,0.4252302406722044,-2.3949574603668555,1.1387291043413783,-2.3461672961974243,-0.5154924107196956,3.692657822270396,Goldrush,mid-season,40.3518,41.330528837,LY,2
1,1,3,0.445341749352961,-2.3654291224440582,1.0112271503019792,-1.9907356730026473,-0.7290837570900335,3.6286796528817966,Goldrush,mid-season,33.0379,41.330528837,LY,2
1,1,4,0.3993263701816576,-2.599179830255059,0.7945825729195786,-1.577528582723077,-0.6220171376956412,3.6048166075725385,Goldrush,mid-season,37.5505,41.330528837,LY,2
1,1,5,0.6519389433322154,-2.4682209085968276,0.8242432729288618,-1.7750737280368822,-0.7470790065827257,3.514191426955356,Goldrush,mid-season,46.0089,41.330528837,HY,2
1,1,6,0.4885647008479608,-2.52533487666148,0.9418880152598255,-1.7631948246145828,-0.6426036292276973,3.5006806143959746,Goldrush,mid-season,41.0167,41.330528837,LY,2
1,1,7,0.7209165274512146,-2.301249003170932,0.7209165274512146,-1.70162788062181,-0.8712795785483798,3.432323407438694,Goldrush,mid-season,46.7937,41.330528837,HY,2
1,1,8,0.637949874224609,-2.3213577734781023,0.8174753437165623,-1.8182541958060212,-0.8087696870339189,3.49295643837687,Goldrush,mid-season,47.0117,41.330528837,HY,2
1,2,1,0.47303527346506336,-2.2896252950949894,0.7189276668880633,-1.698260808844986,-0.5418289492880506,3.3377521128749006,Goldrush,mid-season,15.1183,41.330528837,LY,2
1,2,2,0.34312996599618417,-2.2737042268343646,1.2075358625013273,-2.1645049348693726,-0.6414516366340925,3.5289949698403187,Goldrush,mid-season,36.2643,41.330528837,LY,2
1,2,3,0.5429860198483389,-2.2866403359908913,0.9664268536255887,-2.20325872705184,-0.6859361035255453,3.66642229309435,Goldrush,mid-season,44.8208,41.330528837,HY,2
1,2,4,0.5552386876179578,-2.4335648758615194,0.8952324759920707,-2.012351410785215,-0.6105528631293597,3.605997986166062,Goldrush,mid-season,43.7962,41.330528837,HY,2
1,2,5,0.5692522875469535,-2.423431866947701,0.7214697560833438,-1.7302846863877557,-0.6610862829259396,3.524080792631098,Goldrush,mid-season,42.9569,41.330528837,HY,2
1,2,6,0.7251907638346267,-2.327677701090173,0.7597217609896414,-1.991205464468961,-0.6945232620387571,3.5284939027736253,Goldrush,mid-season,49.2462,41.330528837,HY,2
1,2,7,0.5076740318536093,-2.50892594525019,0.6763481330712424,-1.5172857761342482,-0.5881743558310313,3.430363912290616,Goldrush,mid-season,41.8669,41.330528837,HY,2
1,2,8,0.6942658898962604,-2.4232991789710345,0.7815659088275679,-1.8211237766168162,-0.7466090395277671,3.515200196391788,Goldrush,mid-season,49.5841,41.330528837,HY,2
1,3,1,0.6484651991175294,-2.1759877751721057,1.1160103145250582,-2.4077893892294298,-0.6912533412389625,3.5105549919979118,Goldrush,mid-season,26.5524,41.330528837,LY,2
1,3,2,0.4099798443274625,-2.661896142977558,1.0255116405249223,-1.8575233273073883,-0.4978972132696593,3.5818251987022216,Goldrush,mid-season,37.3761,41.330528837,LY,2
1,3,3,0.6909623614471556,-2.353560076276268,1.0911224173256269,-2.45364353483325,-0.6531503856364402,3.6782692179731753,Goldrush,mid-season,43.3275,41.330528837,HY,2
1,3,4,0.5010825697370715,-2.492146573598801,0.7028090675517475,-1.6319453083756899,-0.5792427210116577,3.4994429656973316,Goldrush,mid-season,40.4935,41.330528837,LY,2
1,3,5,0.4784082673398249,-2.533619088700669,0.8019810104756737,-1.666118520995945,-0.5809292526599767,3.500277584541093,Goldrush,mid-season,43.8616,41.330528837,HY,2
1,3,6,0.883880113576228,-2.3722144217745806,0.6588849956167016,-1.9275286005131353,-0.7158929234416305,3.472870836536418,Goldrush,mid-season,45.998,41.330528837,HY,2
1,3,7,0.5442099722350471,-2.4745167602428997,0.6797045947369478,-1.4053183567810836,-0.814220430575308,3.470140980627294,Goldrush,mid-season,42.074,41.330528837,HY,2
1,3,8,0.5950305229019008,-2.3552393765753328,0.660658566573253,-1.913406624296294,-0.4040521704191762,3.4170090818156496,Goldrush,mid-season,54.5109,41.330528837,HY,2
4,1,1,0.739547654951282,-2.235749973443491,0.8676129643028654,-2.1487385964538617,-0.9960590865154759,3.7733870371586815,Bijou Rouge,early,20.2342047,36.5325879875,LY,2
4,1,2,0.7950089679042507,-1.9975185379393614,0.7865777911518999,-2.520766681703909,-0.8745147961470923,3.811213256734214,Bijou Rouge,early,35.01293356,36.5325879875,LY,2
4,1,3,0.8451132927424836,-1.9368067569261824,0.823203183106739,-2.2469616852300214,-1.243659576366237,3.759111542673217,Bijou Rouge,early,36.14700403,36.5325879875,LY,2
4,1,4,1.0145046220864606,-2.252017856249093,0.5633908631736162,-2.414536785746868,-0.7704133153248773,3.859072472060758,Bijou Rouge,early,42.22323423,36.5325879875,HY,2
4,1,5,1.2106465195023897,-1.9290587662622776,0.62451390421715125,-2.364376837520123,-1.1513541976742698,3.6096293777371318,Bijou Rouge,early,39.04783691,36.5325879875,HY,2
