Cultivar,Maturity5,clr_N,clr_P,clr_K,clr_Ca,clr_Mg,clr_Fv
Kennebec,mid-season,0.6172196804722365,-1.9646761436172362,0.6272677710411532,-0.8757032827711211,-2.123875146524756,3.6570694274352618
Keuka Gold,mid-season late,0.8800677120301756,-2.0819424229127135,0.32801739248781403,-1.2587238103165992,-1.5616681790560392,3.694249307767361
Krantz,mid-season,0.9302203375721407,-1.8788779120904553,0.4150614323485602,-0.7837371505393111,-2.1782961626348074,3.495629455343873
Lamoka,late,0.8386956900545826,-2.2573648613753066,0.318702566809671,-1.143126300955145,-1.601271666892222,3.84436457235842
Lanorma,mid-season,1.005156492421428,-2.3769713265203767,0.548660252992673,-1.2867742797380433,-1.6838241459604313,3.837494155257121
Mystere,late,0.6301333779953777,-2.0173792538766895,0.5125943844217358,-0.8050333245215673,-1.7564801433674666,3.4328456746952494
Nordonna,mid-season,0.793525685937277,-2.150916837430673,0.3970303730900495,-0.9890742049136065,-1.6155963346429716,3.555757119709045
Norland,early mid-season,0.8329695217137476,-1.9478569054210246,0.012678742140732613,-1.0404564697619825,-1.5808286437033914,3.8564366513236346
Peribonka,early mid-season,0.951242147012036,-1.8683524004234962,0.49083325564618496,-1.1314763668928152,-1.9831815165911981,3.540934881249286
Pike,mid-season,0.9489597804353651,-1.9485614064169021,0.577498766393147,-1.4284473154460597,-1.8869398260153303,3.7113710126722657
Pommerelle,late,0.6004485288964387,-2.2208599614138023,0.6198257034509385,-0.8607425371843029,-1.507681558735697,3.3479018010772497
Prospect,mid-season,0.8987784760591242,-2.0446832799932397,0.617644176794867,-1.1135058465281586,-1.884614568557815,3.58422337759432
Reba,mid-season,0.8874296071061165,-1.9502662237596247,0.32491989504630636,-0.9660642862692597,-1.775727095137401,3.524533613177433
Red Cloud,mid-season,0.7378169484495634,-1.6069636203435187,0.1350266007064802,-1.1336563892425424,-1.5808707437582337,3.4632931657313875
Red Maria,late,0.8451110120129219,-1.7709456109914186,0.5317559515573644,-1.2843340219259618,-1.9667613326843152,3.6499502026363886
Roko,mid-season,0.665649225605975,-2.303791261159797,0.8053111825610704,-1.0199688074470687,-1.5538112332479197,3.3693525994966222
Russet Burbank,late,0.8960512140807857,-2.0987450221220287,0.2578208910759128,-0.9251453557773703,-1.7516182429019007,3.5657999687507935
Russet Norkota,early,0.9652464669908838,-1.939022659920868,0.5046214909020308,-1.3753546195658752,-1.640947408412077,3.5151747214230626
Shepody,mid-season,0.7260934542127304,-2.1120572383595837,0.5710995076325058,-0.9866827768920674,-1.8062015809817824,3.580871261763079
Sifra,mid-season late,0.5979559698166836,-2.3992330201733023,0.24797200315691414,-0.7623735844383126,-1.0748584428296444,3.3953684446788412
Snowden,late,0.6744767202452873,-1.9570116500896184,0.4810395592935368,-0.8880229309306913,-1.837744127535191,3.645885610686734
Superior,early mid-season,0.7317189526779151,-1.9866384498076561,0.5759422742024087,-0.9864289570931648,-1.8897865378898047,3.5761591697215214
Viking,mid-season,0.8009016025129927,-2.1822166538321746,0.17871146881602118,-0.9625446387774572,-1.4434682705157178,3.608616491796337
Vivaldi,early mid-season,0.5313978703786351,-2.1572446458910695,0.5074295718364166,-0.4728409043204733,-1.7408795718915075,3.299972070293332
W 1386,mid-season late,0.9107232724827972,-2.159878121283602,0.23238829940629202,-0.7572213680198934,-1.7273228126471942,3.5060753025299247
Waneta,late,0.7728744422212284,-2.160653124399297,0.29616435323133383,-0.9838710696805777,-1.501817148016892,3.3477403905337937
Yukon Gold,mid-season,0.690719268864818,-2.1815806849670296,0.4603541984969115,-0.8805391449225248,-1.608945929893737,3.483452134611996
