NoEssai,NoBloc,NoTraitement,clr_N,clr_P,clr_K,clr_Ca,clr_Mg,clr_Fv,RendVendable,rv_cut,yieldClass,Cultivar,Maturity5,pred_yield
9,2,5,0.8995257512268102,-2.065747314842472,0.6782095947229818,-0.8083866370984749,-2.2808586944594174,3.5772573004505692,44.16607601,39.969716831,HY,Andover,early mid-season,HY
9,2,6,0.7969690912569032,-2.3410303451891843,0.5514758852356136,-0.7549397967520748,-1.7279258723027753,3.475451037751516,46.81621963,39.969716831,HY,Andover,early mid-season,LY
9,3,1,0.5128113750442802,-2.427071787586299,0.657753029161146,-0.7140931962113584,-1.6060912355164687,3.5766918151086995,28.76504913,39.969716831,LY,Andover,early mid-season,LY
9,3,2,0.726536939352195,-2.467636272875634,0.7330755813648957,-0.8682486962950353,-1.7497964797253172,3.626068928178895,37.65710839,39.969716831,LY,Andover,early mid-season,LY
9,3,3,0.6973980629929963,-2.214251093350453,0.6451809810108822,-0.852447752238858,-1.6969945792541723,3.421114380839606,39.37612047,39.969716831,LY,Andover,early mid-season,HY
9,3,4,0.8150336861531913,-2.1239575437552953,0.6262041426970413,-0.8043545571340771,-2.03158422362428,3.518658495663418,40.07446913,39.969716831,HY,Andover,early mid-season,HY
9,3,5,0.8720026519482853,-2.131441742092045,0.5999889076542289,-1.0221341643071873,-1.8277593282938231,3.509343675090537,44.68536091,39.969716831,HY,Andover,early mid-season,LY
9,3,6,0.8890024924512088,-2.1668837039225295,0.7381942013633309,-0.9729612354500947,-1.9845621471285746,3.497210392686654,47.31759815,39.969716831,HY,Andover,early mid-season,HY
12,1,4,0.8472695762208944,-1.9386908829847762,0.2893916827113485,-1.0483756375138817,-1.631960615562301,3.4823658771287196,28.31210357,36.33133751,LY,FL 1207,mid-season late,LY
13,1,2,0.9389270969625403,-1.893918532436103,0.38334875257365253,-1.2821169913301103,-1.893918532436103,3.7476782066661234,28.24198071,36.33133751,LY,FL 1207,mid-season late,HY
13,1,3,0.862985373427521,-1.8424598115483222,0.31326503488114454,-1.161582723580191,-1.7058842765425717,3.5336764033624197,28.55753357,36.33133751,LY,FL 1207,mid-season late,LY
13,1,4,0.8614990939733507,-1.7751744442866317,0.2789492894089145,-1.1391856775666347,-1.731689332346893,3.505601070817897,32.72984357,36.33133751,LY,FL 1207,mid-season late,LY
14,1,1,0.8427748862141304,-1.8951576893699489,0.2300933883411811,-1.1067003290056787,-1.5767039582514144,3.505693702071732,19.00329429,36.33133751,LY,FL 1207,mid-season late,LY
14,1,2,0.7462378926981308,-1.91741787424727,0.30647495017111037,-1.0285261165612298,-1.6781881851814364,3.5714193331206943,22.91264357,36.33133751,LY,FL 1207,mid-season late,LY
