NoEssai,NoBloc,NoTraitement,clr_N,clr_P,clr_K,clr_Ca,clr_Mg,clr_Fv,RendVendable,rv_cut,yieldClass,Cultivar,Maturity5,pred_yield
1,1,1,-2.194968718787462,-1.9238314376324661,1.3300113659049453,2.036582075675777,0.29363190547958923,-0.6995537740427067,18.9442,41.330528837,LY,Goldrush,mid-season,LY
1,1,2,-1.6733430628687895,-1.4517664674334851,2.392415367038255,1.8963674382225864,-2.054374085137956,0.9876424901825943,40.3518,41.330528837,LY,Goldrush,mid-season,LY
1,1,3,-1.5606752878499688,-1.3387765960175249,1.9420738425725754,1.0650052791569717,-0.8741090158259258,0.5096879265729115,33.0379,41.330528837,LY,Goldrush,mid-season,HY
1,1,4,-1.818460542560313,-2.2332211965909883,1.1768773404431638,1.4817409633323289,0.49800832889830154,0.3314169395131134,37.5505,41.330528837,LY,Goldrush,mid-season,LY
1,1,5,-0.40328592734682267,-1.7321082738919968,1.2816400082746893,0.9949623222422761,-0.15797054132812002,-0.34560647437738845,46.0089,41.330528837,HY,Goldrush,mid-season,HY
1,1,6,-1.318533643879337,-1.950654266035297,1.6971655035963273,1.4016121082147557,-0.11852482559508984,-0.4465401925900575,41.0167,41.330528837,LY,Goldrush,mid-season,HY
1,1,7,-0.01686285724183176,-1.0931920513306095,0.9166861969621015,0.5115361094240891,0.08591762880953485,-0.9572087430201008,46.7937,41.330528837,HY,Goldrush,mid-season,HY
1,1,8,-0.48165485112859047,-1.1701380473186231,1.2577354369141505,0.7548435245209235,-0.3013578891571585,-0.5042443315758384,47.0117,41.330528837,HY,Goldrush,mid-season,HY
1,2,1,-1.405531892410614,-1.0487140558433177,0.909661469343555,1.7938576599072273,0.09709850564973066,-1.6637119495856734,15.1183,41.330528837,LY,Goldrush,mid-season,LY
1,2,2,-2.133281470425057,-0.9877922572552614,2.6354433315643333,1.4060960120157378,-1.4511364284628683,-0.23501530012099459,36.2643,41.330528837,LY,Goldrush,mid-season,HY
1,2,3,-1.0136570171333312,-1.0372921415372793,1.7838375704012008,1.2329490045726639,-1.5798243229310498,0.791647652908607,44.8208,41.330528837,HY,Goldrush,mid-season,HY
1,2,4,-0.9450156815895354,-1.5994973327415782,1.5323764473273034,1.5263633893692872,-0.9458873793346564,0.3402425326102797,43.7962,41.330528837,HY,Goldrush,mid-season,HY
1,2,5,-0.8665093323610177,-1.5607234817641695,0.9186402205490197,1.3296720266292843,-0.009241677893657733,-0.2717270948781633,42.9569,41.330528837,HY,Goldrush,mid-season,HY
1,2,6,0.00708207453170101,-1.1943211831968785,1.0537476887690564,1.1995251849137705,-0.8756690302460439,-0.23875856588632144,49.2462,41.330528837,HY,Goldrush,mid-season,HY
1,2,7,-1.2114802228416277,-1.8878656642832317,0.7592690121096858,1.6134673121656071,0.6980537825217428,-0.9718473245447821,41.8669,41.330528837,HY,Goldrush,mid-season,HY
1,2,8,-0.16616384126113495,-1.5602157526308469,1.130902010929058,0.9967915762459614,-0.31088677115169466,-0.3380703732294464,49.5841,41.330528837,HY,Goldrush,mid-season,HY
1,3,1,-0.42274637846791135,-0.6138812928992765,2.3121717776989463,1.2122527062403008,-2.2589996703625888,-0.3727727828196221,26.5524,41.330528837,LY,Goldrush,mid-season,LY
1,3,2,-1.7587781364672854,-2.473204501060264,1.9925271799483106,1.9648532715198077,-0.43175704665667436,0.15965758943483027,37.3761,41.330528837,LY,Goldrush,mid-season,HY
1,3,3,-0.18467071739759025,-1.2933598169277218,2.2242668224378397,1.3605609405147834,-2.41126537438994,0.8801511512844867,43.3275,41.330528837,HY,Goldrush,mid-season,HY
1,3,4,-1.248406610741196,-1.823659576887186,0.8527299920806662,1.6482319378566936,0.31730926814275673,-0.45578615647609827,40.4935,41.330528837,LY,Goldrush,mid-season,HY
1,3,5,-1.375431551622239,-1.982353715409583,1.2030088901341314,1.6416674462876022,0.20383188872635782,-0.4495510627079782,43.8616,41.330528837,HY,Goldrush,mid-season,HY
1,3,6,0.896084298998189,-1.3647404718333263,0.6975885774647275,1.116347995648854,-0.6642202638845633,-0.6542955936583981,45.998,41.330528837,HY,Goldrush,mid-season,HY
1,3,7,-1.0068002469959756,-1.7561992833420914,0.7711241564071394,0.733627581103323,1.0698587242872448,-0.6746892232703635,42.074,41.330528837,HY,Goldrush,mid-season,LY
1,3,8,-0.7220956800857693,-1.2997856416848153,0.7038528943870735,2.3301265785502743,-0.6173260818515278,-1.0716157648228095,54.5109,41.330528837,HY,Goldrush,mid-season,LY
4,1,1,0.08751159396645,-0.8425607097995305,1.434823330649022,0.025856502485310892,-1.3987818902382758,1.5907372182940027,20.2342047,36.5325879875,LY,Bijou Rouge,early,HY
4,1,2,0.39821442731541995,0.06902934769806619,1.1486041610128503,0.49894366345837465,-2.634158050290996,1.8733213316407855,35.01293356,36.5325879875,LY,Bijou Rouge,early,LY
4,1,3,0.6789065866135142,0.3013423328734671,1.2779663733127382,-0.9378795351682214,-1.724946680080024,1.4840908762320724,36.14700403,36.5325879875,LY,Bijou Rouge,early,HY
4,1,4,1.6278629522255743,-0.9048095905601294,0.36029983937481785,0.9041381309731092,-2.281405432536333,2.2308578256464484,42.22323423,36.5325879875,HY,Bijou Rouge,early,LY
4,1,5,2.7266801280333492,0.33098993685089206,0.5761886364595908,-0.5785990669901304,-2.114841652312185,0.36737116398927944,39.04783691,36.5325879875,HY,Bijou Rouge,early,LY
4,1,6,1.5117126482648093,0.931778528043906,0.9799612826815577,-0.8457208262239388,-2.2793070775045305,0.843294511973111,40.40872148,36.5325879875,HY,Bijou Rouge,early,HY
